50AA01-0820-4266	
This data for reference only	
1579	0.6191
1580	0.6191
1581	0.6192
1582	0.6193
1583	0.6193
1584	0.6193
1585	0.6194
1586	0.6195
1587	0.6196
1588	0.6197
1589	0.6198
1590	0.6198
1591	0.6199
1592	0.6200
1593	0.6200
1594	0.6201
1595	0.6202
1596	0.6203
1597	0.6204
1598	0.6204
1599	0.6204
1600	0.6205
1601	0.6206
1602	0.6207
1603	0.6207
1604	0.6208
1605	0.6209
1606	0.6210
1607	0.6211
1608	0.6211
1609	0.6212
1610	0.6212
1611	0.6213
1612	0.6214
1613	0.6215
1614	0.6216
1615	0.6216
1616	0.6217
1617	0.6218
1618	0.6219
1619	0.6219
1620	0.6220
1621	0.6221
1622	0.6221
1623	0.6222
1624	0.6223
1625	0.6223
1626	0.6218
1627	0.6219
1628	0.6219
1629	0.6220
1630	0.6221
1631	0.6222
1632	0.6222
1633	0.6223
1634	0.6224
1635	0.6225
1636	0.6225
1637	0.6226
1638	0.6227
1639	0.6228
1640	0.6229
1641	0.6230
1642	0.6231
1643	0.6232
1644	0.6232
1645	0.6233
1646	0.6234
1647	0.6234
1648	0.6235
1649	0.6236
1650	0.6237
1651	0.6238
1652	0.6239
1653	0.6240
1654	0.6240
1655	0.6241
1656	0.6242
1657	0.6243
1658	0.6244
1659	0.6245
1660	0.6245
1661	0.6246
1662	0.6247
1663	0.6248
1664	0.6248
1665	0.6249
1666	0.6250
1667	0.6250
1668	0.6251
1669	0.6252
1670	0.6253
1671	0.6253
1672	0.6254
1673	0.6255
1674	0.6256
1675	0.6257
1676	0.6251
1677	0.6252
1678	0.6253
1679	0.6253
1680	0.6254
1681	0.6255
1682	0.6256
1683	0.6257
1684	0.6258
1685	0.6258
1686	0.6259
1687	0.6260
1688	0.6260
1689	0.6261
1690	0.6262
1691	0.6263
1692	0.6264
1693	0.6265
1694	0.6266
1695	0.6267
1696	0.6267
1697	0.6268
1698	0.6269
1699	0.6270
1700	0.6271
1701	0.6271
1702	0.6272
1703	0.6273
1704	0.6273
1705	0.6274
1706	0.6275
1707	0.6277
1708	0.6277
1709	0.6278
1710	0.6279
1711	0.6279
1712	0.6281
1713	0.6281
1714	0.6282
1715	0.6283
1716	0.6284
1717	0.6285
1718	0.6285
1719	0.6286
1720	0.6286
1721	0.6287
1722	0.6288
1723	0.6288
1724	0.6289
1725	0.6290
1726	0.6290
1727	0.6291
1728	0.6291
1729	0.6292
1730	0.6292
1731	0.6292
1732	0.6293
1733	0.6294
1734	0.6294
1735	0.6295
1736	0.6295
1737	0.6295
1738	0.6296
1739	0.6296
1740	0.6296
1741	0.6296
1742	0.6296
1743	0.6296
1744	0.6296
1745	0.6297
1746	0.6297
1747	0.6297
1748	0.6298
1749	0.6298
1750	0.6298
1751	0.6299
1752	0.6299
1753	0.6300
1754	0.6300
1755	0.6300
1756	0.6300
1757	0.6300
